@realdonaldtrump
the
rt
to
is
you
for
of
and
a
in
our
i
that
job
us
all
this
be
not
on
he
news
no
are
me
if
trump
it
since
great
day
tax
your
has
world
president
who
what
senate
it's
@cnnpr
we
report
do
office
back
that's
about
country
represent
first
other
have
took
big
@potus
hear
yours
cnn's
republicans
election
many
things
here
democrat
losing
would
amp
cuts
retweet
so
will
but
dc
by
or
week
importance
don't
with
will…
his
as
more
want
at
most
done
my
@diamondandsilk
media
daca
@dineshdsouza
you’re
than
was
how
thing
tweet
need
him
never
moore
another
support
just
an
much
@camanpour
please
out
make
thank
been
still
there
retweeted
photo
last
when
cnn
good
up
like
a…
doesn't
know
only
one
girls
any
facts
intel
@colmorrisdavis
they
their
this😉😉
dare
roy
time
say
did
3
after
america
again
why
@cpeternell
could
sent
everyone
even
the…
let
late
people
agrees
retweets
camerawo…
schumerpelosi
httpstco5buay4ofhz
@presssec
approve
you've
into
bor…
which
think
ever
maga
see
from
down
states
let’s
i'm
‘s
@edkrassen
@irdotnet
year
can
over
says
@rosemcgowan
primary
u
@jacobawohl
united
must
dear
she
does
them
list
it…
i’m
mr
hello
oh
nothing
@juliansvendsen
way
man
@funder
love
under
stop
@dearauntcrabby
@johnnytrevisani
guess
wins
@cfpb
blow
because
voting😘
httpstcoh7rlsfvajw
potus?
election—so
@fbi
@michellemalkin
winning
@johnpaulusa
snoop
"what
effectively
expose
should
bus
didn’t
@ivankatrump
obama
saudi
wish
arabia
jones
getting
@susannow3
“president”
@cnni
going
@cherylharley3
hasn't
now
pacific
sailors
before
can't
hey
s…
tamp
realize
search
wahhabism
lol
ended
keep
end
best
@altspicerlies
once
against
small
respect
can’t
outside
enough
calling
new
navy
own
get
senators
insulted
thrown
days
decreased
stabbed
owe
this…
@larryelder
calmed
@starbucks
@tedlieu
syria
inspired
10
waiting
coffee
4
look
ha…
crossings…
taken
very
plan
vote
rich
years
@wsj
hope
donald
lead
tell
ago
were
important
better
poll
air
doesn’t
called
@sarahhuckabee
each
call
every
hillary
t…
@jackposobiec
someone
run
free
being
americans
fact
child
instead
commented
doing
really
@cnn
you're
exactly
ur
almost
saying
iii
war
bring
year"
unknowingly
leadership
chance
schumer…
prepared
got
wasn’t
polls
httpstcoapvbu2b0jd
wow
read
@crusher614
shot
sir
luther
"at
tv
american
truth
too
endorsed
@donc085
trump?retweet
@realdonaldtrump@seanhannity@realamericadrew
roasttrumpin4wordsmaga@larryeld…
@maureenhommagm1
real
money
mo…
put
cut
@marcoslinville
trumpcrimefamily
trumpinsane
it’s
trumpthebeast
trumptraitor…
httpstcotaygha8sr4
@vp
voted
2
@thejusticedept
@jeffsessions
@trumparmydawn
@realdonaldtrump's
feel
1
agencies
presidenting
then
complete
spread
president?
@jebsanford
passed
dem
sure
go
biggest
international
journal
wall
check
gu…
those
doug
includes
try
@donaldjtrumpjr
coast
@nfl
total
force
army
some
trump666
y…
@billgertz
@liugang8964
these
@danielharperjr1
well
recent
editorial
@time
street
o…
hard
months"
under…
absolutely
v
legacy
"obama
debate
benny
btw
@sebgorka
donnie
show
httpstcorjdzvy7c3b
possibly
molester
legislation
right
golf
@mmpadellan
1st
🚨wrongly
off
credit
take
thanksgiving
thanks
named
httpstcofkypdgv0vp
@morten
cfpb
wait
you…
@realdonaldtrump]
obama's
economic
gains
god
🚨committed
anyone
everything
didn't
@nivisa4031
while
[president
accomplishment
your…
website
@trumpsblonde
around
like…
thought
coming
having
taxes
worse
represents
@olganyc1211
showed
already
campaign
lady
attack
terrorist
@stacylstiles
full
believe
@realassange
said
bureau
players
consumer
financial
protection
httpstco4aksa9zz…
basis
c…
dodge
previous
administrations
pi…
“christia…
selfproclaimed
eyes
cup
@ingrahamangle
history
prom…
3rd
httpstcophigfy4kt5
😂😂
@speakerryan
@realdonaldtrump’s
😉🇺🇸
im
@wdrohrer
actually
bullets
p…
he's
shoutout
left
without
🍎
agree
through
dogg
@bonnieotterson
httpstco…
walks
happens
@whitehouse
chained
passing
political
federal
looked
republican
year”
"i
person
wo…
🤷🏼‍♀️
ugly
guy
where
shame
members
met
@ronthornton
ball
don’t
@americanluvsong
boy
level
ht…
always
@prisonplanet
china
making
@flotus
low
@bellakm
kushner
propaganda
magazine
true
yourself
h…
acting
metoo
had
@davidbowiereal
@sinofreedom
@lihongkuan
@stevebannen
racist
@senjohnmccain
@oliviaresists
found
@cathylarson16
@brettcarey35
@kimberlyxxii
help
httpstcosemgn76u44
children
to…
@realdonaldtrumpyou
independent
organization
stories

potus
until
hillar…
both
mean
he…
her
bob
supporters
gop
seen
win
zero
set
cannot
@dtrumppoll
ignorant
@thebradfordfile
httpstcorgj0bydyuw
httpstcozbqp3f0onj
won't
pakistan
httpstcolwzeoyigiv
describes
2016?
daily
works
jobs
amazing
@geraldorivera
pay
@nomdevoyage1
deeper
@noelinsd
wider
@pamelakgilliam8
perfect
✔
evidenced
@vmkellervanessa
gloria
allred
accu…
houses
approved
pill
leaders
times
rest
behind
reserve
probably
“man
between
?
m…
yes
besides
living
@warriorofgod97
sweetie
freaking
“me
no?…
@salmansdynamite
@israelusaforevr
@southern4maga
presidency
bot
treating
httpstconk7nuemqtz
happen
one?
donna
b
may
book
paid
stole
“ooh
ooh
usa
fellas
democracy
wrong
english
@counterchekist
sorry
far
terrified
@housegop
out…
trust
@loudobbs
hasn’t
polit…
alleged
who's
special
@charmie910
@babysgramma
supposed
and…
proof
@cosmeclaire
ha
point
taking
@cnn…
opinion
@un
fat
@deplorable619
@mousaamy
@kremlinrussiae
lavar
jail
we're
@israelinusa
@israelipm
three
@eueeas
congress
@federicamog
@lesliesimone
@seanhannity
such
video
@alfranken
rigged
coverage
hurts
wonder
@keitholbermann
president…
two
@unpersuaded112
idiot
happy
twitter
@senatemajldr
folks
permanent
tax…
httpstcod1sbhfsnm5
dude
destroy
@redstmiscreant
corporations
@ebe2014
except
@warriorforkids
anything
lie
@gruvedawg
literally
press
b…
i've
horrible
@sruhle
dobetter
wants
httpstco2xjsnsx66r
reading
morning
claims
@senwarren
ignoring
naming
director
causing
market
uncertainty
i…
filled
needs
held
work
also
admit
